,ID,Title,Location,Estado,Company,Salary,Synopsis,Description,Post_Date,Accessed_Date,Link,English,Skills,Academy_grade,Years_Experience,SoftSkill,Skill_FrontEnd,Skill_BackEnd,Skill_computo,Roles_computo,Areas_computo
0,0,Senior Software Developer CygNet,"Remoto in 66267, Monterrey, N. L.",Remoto,Weatherford,,"Supports and/or installs software applications/operating systems.Designs, modifies, develops, writes and implements software programming applications.","VisiÃ³n general:
Weatherford is a leading global energy services company. Our world-class experts partner with customers to optimize their resources and realize the full potential of their assets. Across our operating locations, including manufacturing, research and development, service, and training facilities, operators choose us for strategic solutions that add efficiency, flexibility, and responsibility to any energy operation.

We are focused on technology development, digital solutions, and defining our footprint in the new energy space. Our ability to provide integrated solutions across our segments will be critical to growth in our core operations and the energy transition.

Energy producers face unique challenges every day, so it is our job to create solutions that enhance safety, streamline operations, and sustain uptime to meet or exceed their targets. We operate across the global energy landscape employing some of the best diverse talent in the industry. At Weatherford, we understand the value each individual brings to the table. We celebrate diversity in all its forms and are immensely proud of our workforce. We invite you to join our passionate, talented, word-class team.

When you join Weatherford, you instantly feel connected to something bigger – a community that is grounded by our core values and driven to create innovative solutions for our customers. We celebrate each other’s successes, grow together, and learn from each other constantly. Individually, we are impressive. Together, we are unstoppable. We are One Weatherford.

Weatherford offers competitive compensation, a comprehensive benefits program and provide you a challenging and enriching career path, with a healthy balance of structure and flexibility to chart your own course.

Weatherford is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.

Requisitos de trabajo:
This is the senior level job. Technical expert, leading developing and maintaining engineering application software for use in Oil/Gas industry. Designs, modifies, develops, writes and implements software programming applications. Supports and/or installs software applications/operating systems. Leads the testing process through test review and analysis, test witnessing and certification of software. Designs, plans, and coordinates work teams. Assigns tasks and reviews the work of more junior personnel.

Experiencia:
Minimum 5-8+ years related experience - Must have Degree or Diploma",Postedhace 26 días,2022-05-26,https://www.indeed.com/rc/clk?jk=ad1c18cace33db58&fccid=e764c38693822dfc&vjs=3,,"express
git",,5-8+ years,"Continuously learn, Efficiency, Innovation, strategic",,,Software,Developer,Software
1,1,SOFTWARE DEVELOPER,"Remoto in 66267, Monterrey, N. L.",Remoto,Weatherford,,"Familiarity with software design patterns MVVM, Inversion of Control (IoC) and Dependency Injection (DI).On your day-to-day activities, you will be involved in…","VisiÃ³n general:

Weatherford is a leading global energy services company. Our world-class experts partner with customers to optimize their resources and realize the full potential of their assets. Across our operating locations, including manufacturing, research and development, service, and training facilities, operators choose us for strategic solutions that add efficiency, flexibility, and responsibility to any energy operation.

We are focused on technology development, digital solutions, and defining our footprint in the new energy space. Our ability to provide integrated solutions across our segments will be critical to growth in our core operations and the energy transition.


Energy producers face unique challenges every day, so it is our job to create solutions that enhance safety, streamline operations, and sustain uptime to meet or exceed their targets. We operate across the global energy landscape employing some of the best diverse talent in the industry. At Weatherford, we understand the value each individual brings to the table. We celebrate diversity in all its forms and are immensely proud of our workforce. We invite you to join our passionate, talented, word-class team.

When you join Weatherford, you instantly feel connected to something bigger – a community that is grounded by our core values and driven to create innovative solutions for our customers. We celebrate each other’s successes, grow together, and learn from each other constantly. Individually, we are impressive. Together, we are unstoppable. We are One Weatherford.

Weatherford offers competitive compensation, a comprehensive benefits program and provide you a challenging and enriching career path, with a healthy balance of structure and flexibility to chart your own course.
Weatherford is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.
Requisitos de trabajo:

As a senior software developer, you will actively contribute to software that makes oil and gas operations cleaner, safer, faster and better in general.
You will be part of the R&D (research and development) team of a global leader company in the industry, exposed to scenarios from all over the world. The team is composed by several fellow developers, testers, subject matter experts, and documentation writers.
On your day-to-day activities, you will be involved in understanding requirements, planning iterations, designing solutions and, of course, coding (a big part of the day). C# knowledge is essential, including features like lambda expressions and Entity Framework. SQL Server (or similar) is also a must.
Proficiency in C#, including features like Lambda expressions, multithreading, attributes, reflection, etc.
Proficiency in T-SQL syntax. Able to alter models, query data and manipulate data.
Experience with relational database models, comfortable with concepts like primary key, foreign key, indexes, etc.
Familiarity with WPF (Windows Presentation Foundation), its syntax, design process, resources mapping and binding capabilities.
Familiarity with software design patterns MVVM, Inversion of Control (IoC) and Dependency Injection (DI).
Experience with the .NET platform stack, it’s base classes, documentation format, dependencies, etc.
Experience in Entity Framework.
Experience in Visual Studio, including multi-project solutions, build and debug processes, platform configurations, etc.
Experience with source control (Preferably zure DevOps / TFS) and continuously integrated environments.
Familiarity with unit tests, how to design, write and execute them.
Ability to read and understand existing code and write new code with confidence. Use of Stack Overflow / Google as references, but not as sources.
Experience with software development processes on teams composed by requirements, development, QA, infrastructure, deployment, etc.
Fluent in English: read, write, listen, speak.
Good verbal, writing and interpersonal communication skills.
Well organized, with multi-task capabilities for multiple simultaneous projects.
Full-time concern with safety and company-standards compliance.
Experiencia:

Minimum 5 years of related experience.
Must have degree or diploma in computer science, engineering, math, physics, or related",Postedhace 30+ días,2022-05-26,https://www.indeed.com/rc/clk?jk=662f3dd78661b9f8&fccid=e764c38693822dfc&vjs=3,"Fluent in English, English","er model
express
git",,5 years,"Comunication skills, Continuously learn, Efficiency, Innovation, Involved, Interpersonal, strategic",,"SQL, MSSQL, Devops","Software, Platform, Devops, SQL, C++",Developer,Software
2,2,Software Developer,"Guadalajara, Jal.",Jalisco,IBM,,"Whether you are working on projects internally or for a client, software development is critical to the success of IBM and our clients worldwide.","Introduction
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today - planes and trains take off on time, bank transactions complete in the blink of an eye and the world remains safe because of the work our software developers do. Whether you are working on projects internally or for a client, software development is critical to the success of IBM and our clients worldwide. At IBM, you will use the latest software development tools, techniques and approaches and work with leading minds in the industry to build solutions you can be proud of.

Your Role and Responsibilities
Lead small team of cloud native application develop cloud-based applications on small teams using Agile practices communicate and manage relationships with peer development members perform as a team by delivering assigned tasks on-time and with quality learn new tools, technologies, processes for continuously improving skills.

Help develop and lead team to follow design and development standards and guidelines develop flexible, maintainable, and scalable application components. Support monthly business operations activities


Required Technical and Professional Expertise
A minimum of 5-8 years experience in Software DevelopmentDemonstrated experience in IBM Cloud technologies, Test automation and Test Driven Development (TDD)Exposure to DevSecOps pipelines including good understanding of Dockers, Openshift, KubernetesDemonstrated communication skills in a customer facing environment.A minimum of 3 years of experience in cloud development - leading, writing, researching, guiding, managing, etc.Proven Relational DB, Java and Java-script coding skillsUnderstanding of Continuous Integration / Continuous Deliv

Preferred Technical and Professional Expertise

Angular 4+, NodeJS, Spring-boot, DB2, JDBC, Eclipse, Bootstrap, HTML, CSS, JSON, REST API, (3 yrs)
Agile Development methodology (2yr)
Bachelor’s degree in Computer Science, Engineering or other relevant fields
Demonstrated knowledge of database and network operations (3 yrs)
Understanding of Microservices architecture (2 yrs)

About Business Unit
The Chief Information Officer (CIO) organization owns IBM’s internal IT strategy and provides the tools, computers, devices, and infrastructure that IBMers use to do their jobs every day. We also own the more than 4,000 applications that keep IBM running, from supply chain and logistics to sales and marketing and finance systems.

Your Life @ IBM
Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBM
IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.


At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",Postedhace 1 día,2022-05-26,https://www.indeed.com/rc/clk?jk=ea7e047b7c1d4918&fccid=de71a49b535e21cb&vjs=3,,"Bootstrap
Node
Agile
Angular
express",Bachelor,"5-8 years, 3 years","Comunication skills, Continuously learn, Curiosity, Organization, strategic","HTML, CSS, Environment, Angular","Java, Express, Microservices Architecture","Software, Cloud, Java, CSS, Html, Angular, API, REST API, Microservices, OpenShift, Blockchain",Developer,Software
3,3,Software Developer - Student (Part Time),"Mexicali, B.C.",Baja California,Collins Aerospace,,Estimates project resource requirements for single developer projects.Provide third-tier support for supported applications.Individual job duties may vary.,"Job Responsibilities:Provide third-tier support for supported applications.Investigate, troubleshoot, resolve, and provide resolution for incidents and problems with supported applications with little or no help.Communicate with system users to identify, explain, and resolve issues which cannot be solved by tier one and two support personnel.Analyze, design and develop simple applications.Works on assigned tasks under direct supervision.Must be able to work independently as well as within a team environment.Estimates project resource requirements for single developer projects.Expected to coordinate activities with support personnel and other team members.Understand and operate within company policies and procedures.Develop/modify programs based on functional specifications, investigate and understand new technologies, participate in unit test planning, unit-tests, code review and performance monitoring.Adhere to company and departmental policies and processes to help achieve predictable service levels and meet goals.May begin to interface with internal customers.Individual job duties may vary.Participate in Data mapping, Data conversion and Data Validation.
Qualifications:Student of Computer Sciences Engineering or related.English - 90%Preferred experience in:
Web development (HTML, Bootstrap, JavaScript, JQuery, C#, Java, WCF, ASP NET, ASP.NET MVC Java). RESTful web services (XML,JSON,AJAX,and/or WCF).JsonAzure DevOpsGitDocker
Available to work part time",PostedHoy,2022-05-26,https://www.indeed.com/rc/clk?jk=89af55c6b5a6cb3f&fccid=3d30677097704d8f&vjs=3,English,"MVC
Bootstrap
JavaScript
Git
Azure",,,"Comunication skills, Independent Worker","HTML, JavaScript, Environment",".NET, Java, JavaScript","Web Development, Java, JavaScript, JQuery, Html, C++",Developer,Software
4,4,SOFTWARE DEVELOPER - CygNet EIE,"66267, Monterrey, N. L.","Monterrey, N L",Weatherford,,Employ software engineering methods and practices to create artifacts to support the implementation and support of software products.,"VisiÃ³n general:

Weatherford is a leading global energy services company. Our world-class experts partner with customers to optimize their resources and realize the full potential of their assets. Across our operating locations, including manufacturing, research and development, service, and training facilities, operators choose us for strategic solutions that add efficiency, flexibility, and responsibility to any energy operation.

We are focused on technology development, digital solutions, and defining our footprint in the new energy space. Our ability to provide integrated solutions across our segments will be critical to growth in our core operations and the energy transition.


Energy producers face unique challenges every day, so it is our job to create solutions that enhance safety, streamline operations, and sustain uptime to meet or exceed their targets. We operate across the global energy landscape employing some of the best diverse talent in the industry. At Weatherford, we understand the value each individual brings to the table. We celebrate diversity in all its forms and are immensely proud of our workforce. We invite you to join our passionate, talented, word-class team.

When you join Weatherford, you instantly feel connected to something bigger – a community that is grounded by our core values and driven to create innovative solutions for our customers. We celebrate each other’s successes, grow together, and learn from each other constantly. Individually, we are impressive. Together, we are unstoppable. We are One Weatherford.

Weatherford offers competitive compensation, a comprehensive benefits program and provide you a challenging and enriching career path, with a healthy balance of structure and flexibility to chart your own course.
Weatherford is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.
Requisitos de trabajo:

Duties & Responsibilities
Develop and maintain engineering software for use in the energy industry.
Analyze requirements and architecture to perform design and implementation of software applications.
Prioritize and plan work to accomplish goals in a fast-paced, cross-functional environment.
Provide high-quality work in a timely manner with some direction from senior technical staff.
Demonstrate understanding and adherence to the software development process.
Employ software engineering methods and practices to create artifacts to support the implementation and support of software products.
Evaluate the existing implementation of a large, complex legacy system to determine and proceed with optimal resolution of issues and implementation of enhancements.
Resolve customer issues with software and respond to suggestions for improvements and enhancements.
Work effectively with other developers, QA, support, and documentation staff on an Agile Scrum team to create quality software that is accurate, robust, and maintainable.
Demonstrates good interpersonal and communication skills with the ability to work closely with internal and external customers to translate needs into requirements, to explain and resolve technical issues, and to present technical solutions.
Understands and complies with all safety rules and company policies.
Performs various other duties and activities as assigned by supervisor within the physical constraints of the job.
Experiencia:

Skills & Knowledge
BS Engineering, Computer Science, or equivalent with 2 to 5 years of experience.
Working knowledge of Object Orientated Design and Principles
Working knowledge of C++ and/or C# (data structures, algorithms, etc)
Experience with firmware or similar embedded system development.
Experience in client/server development on MS Windows platform
Experience creatring and executing automated tests.
Working knowledge of Agile Framework and Scrum Methodologies
Knowledge of Networking and network protocol knowledge (TCP/IP, UDP, etc)
Strong diagnostic skills to analyze, track, trouble-shoot, and solve complex problems and design appropriate solutions
Good interpersonal skills and ability to foster teamwork",Postedhace 30+ días,2022-05-26,https://www.indeed.com/rc/clk?jk=fb9f87551e30411e&fccid=e764c38693822dfc&vjs=3,,"Scrum
Agile
express
git",,2 to 5 years,"Comunication skills, Continuously learn, Efficiency, Innovation, Interpersonal, strategic, Team Work",Environment,,"Software, Platform, C++, Firmware",Developer,Software
5,5,Junior Software Developer,Remoto,Remoto,Luxoft,,1+ years of professional software development experience.Create and maintain quality software using best-in-class tools.Experience in writing SQL statements.,"Project Description
If you're interested in working with extraordinary people and real professionals in one of the largest IT Service Companies, join Luxoft (19,000+ employees around the world), http://www.luxoft.com. We are looking for a candidate for one of our clients. As a travel provider laser-focused on low prices, we're growing faster than ever. At this project, we mix creativity, analytics, and a casual (albeit driven) environment in order to get new products and services to market quickly. In Luxoft, our culture is one that strives on solving difficult problems focusing on product engineering based on hypothesis testing to empower people to come up with ideas. Great Place to Work Institute certifies us as one of the Top 10 companies to work for in Mexico, and we do it with a truly flexible environment, high impact projects in agile environments, a culture focused on results, training and strong support to grow your career.
Responsibilities
Create and maintain quality software using best-in-class toolsWork with QA, product management, and operations in an Agile environmentParticipate in resolution of production issues and lead efforts toward solutionsGrow a performant production environment in a way that makes the system increasingly reliableOpportunities to showcase your work on our tech blog and internal & external conferences
Skills
Must have
1+ years of professional software development experienceHigh quality software development skills principally in Java and Java WebServices frameworks like Dropwizard, Spring Boot or similarExcellent algorithmic and problem solving skillsAbility to work well cross-functionally across multiple department
Nice to have
- Experience in programming languages - Java or Scala
Experience in designing and developing RESTful API and WebServicesUnderstanding of NoSql database technologies (MongoDB or Dynamo DB)Experience in writing SQL statements.Experience in understanding CICD, big data technologies for data engineeringExcellent algorithmic and problem solving skillsKnowledge of application performance monitoring tools like New Relic, Splunk, Datadog or similarExperience in Agile/Scrum software development methodology
Languages
English: C1 Advanced
Seniority
Junior
Relocation package
If needed, we can help you with relocation process.
Vacancy Specialization
Java
Ref Number
VR-76075",Postedhace 21 días,2022-05-26,https://www.indeed.com/rc/clk?jk=be6a99b3a0a16570&fccid=4b841d912d46e4fd&vjs=3,"Advanced English, English","agile
MongoDB
NoSql
Agile
Scrum",,1+ years,"Analitical, Creativity, Problem solving",Environment,"Java, SQL, NoSQL, MongoDB","Software, Java, SQL, API",Developer,Software
6,6,CIE Process Expert -MES Software Developer,"Silao, Gto.",Gto,Continental,,Develop concepts for Software -MES- for SMT-TL-BE machines for new ECU part numbers or new EBS Products or Processes.Support APQP in activities related to MES.,"CIE Process Expert -MES Software Developer
Develop concepts for Software -MES- for SMT-TL-BE machines for new ECU part numbers or new EBS Products or Processes.
Define the technical specification required by our Product/Processes regarding MES.
Provide Feedback to suppliers regarding manufacturability and Machines design Focus on MES.To Define appropriate MES training needs for the plants of influence regarding the equipment/processes in his responsibilityTo assure the MES process specification regarding product characteristics are fulfilled in the pre-acceptance procedures.Support the preparation of FMEA and Control Plans focus on MES if applies.Support Quality Area for solving problems related with Customers rejects Focus on MES if applies.Participation in the problem solving methodology, as well as in the definition and implementation of corrective and preventive actions
applicable to their activities Focus on MES.
Participate actively in Local and external Teams as required and applicable.
To control the Budget assigned for the Processes under responsibility
Support APQP in activities related to MES
Support for the execution of Validation Tests in ECUs (PV, PPAPS, PA, etc.) world wide as required and applicable for MES.
Define and supervise project timing, where key activities, dates of deliverables, milestones with client, etc., must be included.
Coordinate in conjunction with local Plant IE ""Kick-Off"" of the project, where it will be communicated / reviewed with the launch team: timings and dates of deliverables of the project, initial concepts of product and process and any other additional information relevant to the project. project (logistics concept, customer requirements, volume, etc.)
Involve Plants feedback in the definition phase of MES equiment specifications.Support Series production in the continuos improvement MES process as needed according to the problem to be solvedParticipate actively in MES Competence Networks as required and applicable.Support ECU Plants ww on specific MES processes related topicsDevelop local equipment suppliers in the Region America with MES topics.
To assure the equipment performance regarding MES product characteristics are fulfilled
To assure the Cycle Time targets in serial production based on LMS focus on MES.To assure the OEE target defined by the LMS focus on MESTo assure the Production target [ ECU's/Hr ] defined by the LMS focus on MES",Postedhace 7 días,2022-05-26,https://www.indeed.com/rc/clk?jk=9f2c77acf5ee7500&fccid=6f8339707b2d6538&vjs=3,,,,,Problem solving,,,Software,Developer,Software
7,7,Software Developer Engineer (PSS ECC),"Querétaro, Qro.",Qro,Continental,,You will be developing software and using established design guidelines and coding guidelines.Chassis & Safety Advanced Engineering Software Development…,"Chassis & Safety Advanced Engineering Software Development Engineer will be responsible for the development, analysis and integration of Software embeded solutions related to Passive Safety Systems, enhanced by vehicle surrounding sensors and their coordination interaction. The scope of work will span much of Continental's safety systems portfolio, up to and including Automated Driving systems.

Core responsibilities:
Working on defining/analyzing customer and user requirements, designing innovative solutions, and seeing the product through to customer release.You will be developing software and using established design guidelines and coding guidelines.You will be expected to use a variety of tools that support requirements capture, design documentation, management of code, builds and tests.Will also be expected to align according with estimates for simple tasks based on team experience and manage their own time in accordance with defined project tasks.Developing both unit test strategies and tests for individual components, and developing integration test strategies and tests for collections of components delivering high-level functionality.Critical thinking in managing tasks, architecture, design, and coding will be the measure of a successful candidate.Software Project Managing, i.e. being the main interface to the overall Project Manager, being responsible for the successful conduct of the SW task assigned in terms of time, efforts and quality might be needed.
Additional responsibilities:
You will be helping manufacturing in the introduction of our productsYou will be helping analyzing warranties analysis, consequently good problem solving skills are desired
(Seniority based on competencies)",Postedhace 15 días,2022-05-26,https://www.indeed.com/rc/clk?jk=d66192f1d5e0ce49&fccid=6f8339707b2d6538&vjs=3,,,,,"Critical Thinking, Innovation, Problem solving",,,Software,"Engineer, Developer",Software
8,8,"Android Developer, Regular",Remoto,Remoto,Luxoft,,Drive continuous improvement and continuous delivery in our software development process within an agile development team.,"Project Description
If you're interested in working with extraordinary people and real professionals in one of the largest IT Service Companies, join Luxoft (12,000+ employees around the world), http://www.luxoft.com. We are looking for a candidate for one of our clients. As a travel provider laser-focused on low prices, we're growing faster than ever. At this project, we mix creativity, analytics, and a casual (albeit driven) environment in order to get new products and services to market quickly.

In Luxoft, our culture is one that strives on solving difficult problems focusing on product engineering based on hypothesis testing to empower people to come up with ideas. Great Place to Work Institute certifies us as one of the Top 10 companies to work for in Mexico, and we do it with a truly flexible environment, high impact projects in agile environments, a culture focused on results, training and strong support to grow your career.
Responsibilities
Drive continuous improvement and continuous delivery in our software development process within an agile development team.

Write automated unit, system and acceptance tests as appropriate to support our continuous integration pipelines.

Translate functional specifications into logical, component-based technical designs.

2+ years of experience working in an Android environment
2+ years of experience developing features in Java or Kotlin

Knowledge of API service connection paradigms

Understanding of client/server architectures

Understanding of mobile development standard methodologies

Understanding of client/server architectures

Understanding of mobile development standard methodologies

Open to learn and run with new technologies GraphQL

Understand how works - CI/CD, Git, Github
Skills
Must have
Java, Kotlin, Client/server architectures, unit testing, agile methodology
Nice to have
Graphql, Jetpack Compose, CI/CD, API service
Languages
English: B2 Upper Intermediate
Seniority
Regular
Relocation package
If needed, we can help you with relocation process.
Vacancy Specialization
Android
Ref Number
VR-76914",Postedhace 9 días,2022-05-26,https://www.indeed.com/rc/clk?jk=f87297a2a5cd41aa&fccid=4b841d912d46e4fd&vjs=3,English,"Github
unit testing
agile
Git",,"2+ years, 2+ years","Analitical, Continuously learn, Creativity","Environment, Git, Github","Git, Github, Java, GraphQL","Software, Java, API",Developer,
9,9,Senior Software QA Analyst,"Remoto in 66267, Monterrey, N. L.",Remoto,Weatherford,,Provides technical and operational support for software testing.Work closely with developers in debugging and fixing defects.3-7 years of experience.,"VisiÃ³n general:

Weatherford is a leading global energy services company. Our world-class experts partner with customers to optimize their resources and realize the full potential of their assets. Across our operating locations, including manufacturing, research and development, service, and training facilities, operators choose us for strategic solutions that add efficiency, flexibility, and responsibility to any energy operation.

We are focused on technology development, digital solutions, and defining our footprint in the new energy space. Our ability to provide integrated solutions across our segments will be critical to growth in our core operations and the energy transition.


Energy producers face unique challenges every day, so it is our job to create solutions that enhance safety, streamline operations, and sustain uptime to meet or exceed their targets. We operate across the global energy landscape employing some of the best diverse talent in the industry. At Weatherford, we understand the value each individual brings to the table. We celebrate diversity in all its forms and are immensely proud of our workforce. We invite you to join our passionate, talented, word-class team.

When you join Weatherford, you instantly feel connected to something bigger – a community that is grounded by our core values and driven to create innovative solutions for our customers. We celebrate each other’s successes, grow together, and learn from each other constantly. Individually, we are impressive. Together, we are unstoppable. We are One Weatherford.

Weatherford offers competitive compensation, a comprehensive benefits program and provide you a challenging and enriching career path, with a healthy balance of structure and flexibility to chart your own course.
Weatherford is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.
Requisitos de trabajo:

Senior Software QA Analysts. Plans and executes quality assurance (QA) processes and activities in conjunction with software development projects and tasks to ensure that software applications and products conform to user requirements and are fit-to-purpose. Provides technical and operational support for software testing. Provides technical and team leadership for software QA initiatives and processes. Develops methods, practices, and techniques to improve the software QA process. Leads development of and manages systems supporting automated software testing. Assists with administration of system configuration and work management systems. Acts as a subject matter expert (SME) on software applications, assisting Global Operations, Manufacturing, and R&M on various queries and failure analysis. Write installation, administration, deployment, quick start and other guides. Other responsibilities include writing release notes and introducing new features and enhancements to training instructors and technical writers, providing technical and operational support.
Participate in full testing life cycle, including requirements validation, test planning, test case identification / development, development of test automation framework, functional testing, performance testing and user acceptance testing
Define test objectives, write, and execute test cases and test scenarios to ensure that software products meet design specifications and ensure consistency, completeness, accuracy, and testability of product requirements. Collaborate with team to formulate testing scenarios and facilitate testing.
Work as part of an agile team to ensure a successful product delivery and suggest and negotiate product testability enhancements. Ensure traceability from business requirements and technical specifications to test conditions and problem reports.
Assist in the design, development, and maintenance of plans for testing phases of software development.
Keeps management informed of potential issues and suggested actions that affect the systems, applications, and operations
Collaborate with stakeholders (including subject matter experts, integration management, testers, project managers, discipline managers, and product owners) to formulate testing scenarios and facilitate testing.
Work closely with developers in debugging and fixing defects. Provide feedback to manager and/or development team regarding ways to improve test processes and development performance.
Tracking the defects and making sure that all the defects are closed before final delivery. Report software issues and bugs to a reporting system for review.
Interface with end users to determine new and modified functionality of existing application. Design, develop and maintain enterprise level application and web sites.
Providing technical assistance in root cause analysis, utilize programming and problem-solving skills to develop troubleshooting concepts and techniques. Provide technical and operational support to testers and end-users.
Assist in project schedule planning
Work with Technical Documentation group to define work instructions and Field Operations Procedures
Provide or assist in providing second level or emergency technical support as needed
Perform various other duties assigned by supervisor within the physical constraints of the job
Experiencia:
3-7 years of experience
Experience in testing of products and software for Oil & Gas Industry
Proficiency in MS Office Software (Word, Excel, PowerPoint, Visio, and Outlook)
Solid experience in writing Software Development Requirements and test-related documentation such as Test Plan, Test Strategy and Test Reports
Ability to effectively design and execute software test plans / test cases
Experience in any SDLCs (Software development life cycle) like Agile Scrum, Waterfall/ Iterative & Incremental/ V-Model Methodology
Good verbal, writing and interpersonal communication skills
Bilingual (English-Spanish) *Mandatory",Postedhace 30+ días,2022-05-26,https://www.indeed.com/rc/clk?jk=2ba57694db046ef2&fccid=e764c38693822dfc&vjs=3,"English, Spanish","agile
Agile
express
git
Scrum",,3-7 years,"Collaborate, Comunication skills, Continuously learn, Efficiency, Innovation, Interpersonal, Leadership, Problem solving, strategic",,,"Software, Software Delopment Life Cycle, Software Testing",,Software
